particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
32,13,0,-187.3586769482,385.2617523812,107.0474381097,107.0474381097,0.0687229118,0.0580544874,141.9907349956,0.105658,-1
32,-13,0,-187.3586769482,385.2617523812,107.0474381097,107.0474381097,-0.1634492825,0.1367293793,95.6358054178,0.105658,1
33,32,0,-187.3586769482,385.2617523812,5493.8103895087,5493.8103895087,-0.0947263707,0.1947838668,237.6265404219,0.3548,0
33,13,0,-187.3586769482,385.2617523812,5493.8103895087,5493.8103895087,-0.1858142947,0.1136439106,169.2548617423,0.105658,-1
33,-13,0,-187.3586769482,385.2617523812,5493.8103895087,5493.8103895087,0.091087924,0.0811399562,68.371678671,0.105658,1
34,32,0,-357.7342676942,173.0582594526,4009.421029916,4009.421029916,-0.831992486,0.4024863831,1093.0920063354,0.3548,0
34,13,0,-357.7342676942,173.0582594526,4009.421029916,4009.421029916,-0.0972265916,0.1222631496,160.5635098017,0.1056579999,-1
34,-13,0,-357.7342676942,173.0582594526,4009.421029916,4009.421029916,-0.7347658943,0.2802232334,932.5284964164,0.1056579988,1
35,32,0,-251.9619615341,266.5604743919,13680.3867835629,13680.3867835629,-0.1211877418,0.1282092811,226.0588793723,0.3548,0
35,13,0,-251.9619615341,266.5604743919,13680.3867835629,13680.3867835629,-0.093650113,0.0021144346,36.3937460554,0.105658,-1
35,-13,0,-251.9619615341,266.5604743919,13680.3867835629,13680.3867835629,-0.0275376288,0.1260948465,189.6651333134,0.105658,1
36,32,0,-375.0435072785,538.1056376252,1844.3649023728,1844.3649023728,-0.6280402707,0.9011008157,787.0524925762,0.3547999999,0
36,13,0,-375.0435072785,538.1056376252,1844.3649023728,1844.3649023728,-0.5188709684,0.6904662233,528.916642317,0.1056579999,-1
36,-13,0,-375.0435072785,538.1056376252,1844.3649023728,1844.3649023728,-0.1091693019,0.2106345917,258.1358496926,0.105658,1
37,32,0,-414.7105565317,176.2625934994,3872.0928857311,3872.0928857311,-0.34779042,0.1478198239,394.1580334534,0.3547999999,0
37,13,0,-414.7105565317,176.2625934994,3872.0928857311,3872.0928857311,-0.0337827136,0.0825144715,199.5340549614,0.105658,-1
37,-13,0,-414.7105565317,176.2625934994,3872.0928857311,3872.0928857311,-0.3140077064,0.0653053524,194.6239784112,0.105658,1
38,32,0,-251.9619615341,266.5604743919,13321.2158036283,13321.2158036283,-0.1211877418,0.1282092811,226.0588793723,0.3548,0
38,13,0,-251.9619615341,266.5604743919,13321.2158036283,13321.2158036283,0.0380774916,-0.0592975993,63.8709516626,0.105658,-1
38,-13,0,-251.9619615341,266.5604743919,13321.2158036283,13321.2158036283,-0.1592652334,0.1875068804,162.1879277062,0.1056580001,1
39,32,0,-464.75012094,188.6611464501,5574.8047434705,5574.8047434705,-0.9643611827,0.3914737794,975.2547346662,0.3548000002,0
39,13,0,-464.75012094,188.6611464501,5574.8047434705,5574.8047434705,-0.4507490721,0.047782489,361.3081526225,0.1056580001,-1
39,-13,0,-464.75012094,188.6611464501,5574.8047434705,5574.8047434705,-0.5136121111,0.3436912906,613.9465825243,0.1056580002,1
40,32,0,-241.5423172491,523.4704650662,10776.0699609463,10776.0699609463,-0.1103683746,0.2391903209,214.7579631137,0.3548,0
40,13,0,-241.5423172491,523.4704650662,10776.0699609463,10776.0699609463,0.0558716597,0.0639188886,123.3236429873,0.105658,-1
40,-13,0,-241.5423172491,523.4704650662,10776.0699609463,10776.0699609463,-0.1662400343,0.1752714323,91.4343201281,0.105658,1
41,32,0,-187.3586769482,385.2617523812,18387.7832391121,18387.7832391121,-0.0947263707,0.1947838668,237.6265404219,0.3548,0
41,13,0,-187.3586769482,385.2617523812,18387.7832391121,18387.7832391121,-0.1253038012,0.1631447053,209.8955603506,0.105658,-1
41,-13,0,-187.3586769482,385.2617523812,18387.7832391121,18387.7832391121,0.0305774305,0.0316391615,27.7309800627,0.105658,1
42,32,0,-392.910452615,455.2278431268,16596.0315583635,16596.0315583635,-0.7053292141,0.8171976456,843.7157332058,0.3548,0
42,13,0,-392.910452615,455.2278431268,16596.0315583635,16596.0315583635,-0.6269569839,0.7421359035,759.8428563657,0.1056580005,-1
42,-13,0,-392.910452615,455.2278431268,16596.0315583635,16596.0315583635,-0.07837223,0.075061742,83.8728767409,0.1056580001,1
43,32,0,-283.9818322738,307.7088958334,16181.3481607572,16181.3481607572,-0.1527451645,0.1655072281,252.7986622353,0.3548,0
43,13,0,-283.9818322738,307.7088958334,16181.3481607572,16181.3481607572,-0.0731001579,0.0627569537,205.9732073417,0.105658,-1
43,-13,0,-283.9818322738,307.7088958334,16181.3481607572,16181.3481607572,-0.0796450066,0.1027502744,46.8254548959,0.105658,1
